AÑO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2011,Vaupés,12690,0.6218,0.6218,0.19219999999999998,0.6541,0.2904,0.0973,0.7229000000000001,0.32030000000000003,1.0128,0.602,0.3992,0.09939999999999999,0.0722,0.0872,0.121,0.1424,0.8116,0.0361,0.815,0.121,0.7872,0.0889,0.0361,0.815,0.081,0.0704,0.061500000000000006,0.0361,0.0776,0.0434,0.0206
2011,Vichada,20360,0.7306999999999999,0.7298,0.3184,0.7447,0.3289,0.15539999999999998,0.8208,0.5078,1.2078,0.5948,0.39030000000000004,0.0733,0.0882,0.0877,0.0429,0.026699999999999998,0.9177,0.0,0.9001,0.0429,0.9656999999999999,0.009000000000000001,0.0,0.9001,0.0026,0.0076,0.0354,0.0,0.030699999999999998,0.0545,0.0344
2012,Antioquia,1278686,0.9279000000000001,0.9265000000000001,0.732,0.9265000000000001,0.7484000000000001,0.435,1.058,0.9438,1.1603,1.0914,0.8090999999999999,0.0401,0.0255,0.035,0.0519,0.0377,0.9204000000000001,0.002,0.9305,0.0519,0.9220999999999999,0.0395,0.002,0.9305,0.0555,0.04019999999999999,0.019299999999999998,0.002,0.0167,0.029500000000000002,0.011000000000000001
2012,Atlántico,523911,0.9159,0.9143000000000001,0.5303,0.8905,0.7673000000000001,0.4586,1.0039,0.8756,1.0984,1.0295,0.7763,0.0332,0.020099999999999996,0.0359,0.034300000000000004,0.0277,0.9629000000000001,0.0016,0.9606999999999999,0.034300000000000004,0.9690000000000001,0.0042,0.0016,0.9606999999999999,0.005699999999999999,0.0034999999999999996,0.008,0.0016,0.0085,0.009300000000000001,0.0042
2012,Bogotá D.C.,1470171,0.8694,0.8652,0.6633,0.8397,0.8147,0.5178,0.9286,0.8217,0.9428,1.0109000000000001,0.7859,0.038900000000000004,0.0383,0.0342,0.048799999999999996,0.044500000000000005,0.9611,0.0,0.9658,0.048799999999999996,0.9555,0.0,0.0,0.9658,0.0,0.0,0.051699999999999996,0.0,0.0361,0.08310000000000001,0.0408
2012,Bolívar,495108,0.8896999999999999,0.8887,0.6047,0.8767,0.6801999999999999,0.38079999999999997,1.0353,1.0656,1.1628,1.0031,0.7706999999999999,0.0339,0.0337,0.0325,0.035699999999999996,0.035,0.9283,0.009000000000000001,0.9356,0.035699999999999996,0.9214,0.0378,0.009000000000000001,0.9356,0.053200000000000004,0.0436,0.024,0.009000000000000001,0.024900000000000002,0.0288,0.0101
2012,Boyacá,297132,0.857,0.8564,0.7048000000000001,0.8146,0.7461,0.4824,0.9995999999999999,0.9295,0.9526,1.1124,0.9174,0.0323,0.0274,0.023799999999999998,0.0426,0.0347,0.9192,0.0021,0.9411,0.0426,0.9166,0.048600000000000004,0.0021,0.9411,0.0748,0.0487,0.02,0.0021,0.0144,0.0311,0.015
2012,Caldas,198526,0.8454999999999999,0.845,0.6428,0.8103,0.72,0.43829999999999997,0.966,0.8488,1.0017,1.0316,0.8079000000000001,0.0464,0.047,0.0398,0.0591,0.035699999999999996,0.8895000000000001,0.004699999999999999,0.9035,0.0591,0.9020999999999999,0.064,0.004699999999999999,0.9035,0.0877,0.0622,0.0432,0.004699999999999999,0.0426,0.057300000000000004,0.023799999999999998
2012,Caquetá,124622,0.8328,0.8325,0.49340000000000006,0.8586,0.5623,0.2437,0.9826,0.8633,1.1804000000000001,0.9495,0.5865,0.0723,0.0691,0.0692,0.08380000000000001,0.052199999999999996,0.9159999999999999,0.0013,0.9224,0.08380000000000001,0.9290999999999999,0.0116,0.0013,0.9224,0.0192,0.0187,0.0116,0.0013,0.0109,0.016,0.0072
2012,Cauca,325212,0.8348,0.8340000000000001,0.5359,0.8538,0.6053000000000001,0.2956,1.0215,0.9447,1.2129,0.9898,0.6713,0.04019999999999999,0.028900000000000002,0.0304,0.0542,0.0553,0.9205,0.0034999999999999996,0.9262,0.0542,0.9103,0.0393,0.0034999999999999996,0.9262,0.0434,0.0344,0.0115,0.0034999999999999996,0.0106,0.0161,0.008
